time,connect,request 
0,5.202714285714285,77.97786206896554 
10,1.3196363636363637,63.52967346938776 
20,1.185375,52.39869387755103 
30,1.143,58.95133333333334 
40,1.1585384615384613,61.65032786885243 
50,1.331666666666667,53.50846400000002 
60,1.4237647058823526,62.22660689655169 
70,1.236086956521739,55.419908000000035 
80,1.2776666666666665,56.74950000000002 
90,1.2554901960784308,60.294912663755476 
100,1.2237441860465104,58.90231476997581 
110,1.2108133333333333,57.992343589743605 
120,1.3321984732824426,63.46284343434351 
130,1.2425374999999987,61.43173149309908 
140,1.2595135135135136,61.0529932795699 
150,1.1779256505576199,69.70750485436896 
160,1.218899022801302,71.99762548262545 
170,1.2362452229299359,70.75119342359805 
180,1.166938735177867,284.9709425408534 
190,1.1485435114503804,1424.1202122641512 
200,1.0745593536357974,1842.9542130854538 
210,1.1793360995850577,1338.439945284377 
220,1.060741670937978,1158.7608634552676 
230,1.0490190427174495,1140.4441547597291 
240,1.120509339975094,1659.0104395750368 
244,0,390.3934814241484 
