time,users_count,finish_users_count 
0,7,5 
10,18,15 
20,26,25 
30,34,32 
40,62,56 
50,85,80 
60,119,108 
70,164,159 
80,195,190 
90,246,232 
100,332,313 
110,411,393 
120,547,509 
130,702,666 
140,848,812 
150,1126,1047 
160,1424,1359 
170,1739,1672 
180,2249,1955 
190,2876,2273 
200,3490,2812 
210,4563,3696 
220,5789,4921 
230,7032,6153 
240,7405,7309 
244,7405,7405 
