time,cpu@tsung_controller@ip-172-31-50-170 
0,4.300042622756236 
10,0.2502502502502503 
20,0.20020020020020018 
30,0.19990004997501248 
40,0.1500750375187594 
50,0.35070140280561124 
60,0.44999999999999996 
70,0.5994005994005994 
80,0.8012018027040559 
90,0.5007511266900351 
100,1.1970074812967582 
110,1.3486513486513485 
120,1.6923842707814833 
130,2.355889724310777 
140,2.751375687843922 
150,2.697302697302697 
160,5.205751115518096 
170,6.274900398406374 
180,7.284440039643211 
190,8.030303030303031 
200,9.768378650553878 
210,14.300100704934543 
220,20.710355177588795 
230,25.646224024328433 
240,24.22680412371134 
244,15.31850353892821 
