time,cpu@tsung_controller@ip-172-31-50-170 
0,4.300042622756236 
10,4.300042622756236 
20,4.300042622756236 
30,4.300042622756236 
40,4.300042622756236 
50,4.300042622756236 
60,4.300042622756236 
70,4.300042622756236 
80,4.300042622756236 
90,4.300042622756236 
100,4.300042622756236 
110,4.300042622756236 
120,4.300042622756236 
130,4.300042622756236 
140,4.300042622756236 
150,4.300042622756236 
160,5.205751115518096 
170,6.274900398406374 
180,7.284440039643211 
190,8.030303030303031 
200,9.768378650553878 
210,14.300100704934543 
220,20.710355177588795 
230,25.646224024328433 
240,25.646224024328433 
244,25.646224024328433 
