time,nomatch,match,match_stop 
200,15.5,39.4,15.5 
210,37.8,48.2,37.8 
220,69.6,53.7,69.6 
230,68.4,54.6,68.4 
240,26.5,69.6,26.5 
244,0,22.1,0 
